seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
1,Nathan,Roy,49,Nakuc Mill,Jeevde,NJ,45226,$3899.39,RED,06/28/2055
2,Dale,Ryan,20,Otjot Manor,Ikoheur,MD,11133,$8869.32,RED,05/20/1937
3,Lura,Jones,55,Mezu Place,Digemad,NY,04656,$1358.67,RED,05/21/2035
4,Justin,Cohen,36,Kozig Key,Hetutiive,NV,93553,$5203.46,BLUE,01/20/1951
5,Rena,Simpson,28,Upna Pike,Omjicju,DC,27355,$4387.87,YELLOW,03/26/1937
6,Mathilda,Bailey,19,Japnes Turnpike,Downuvbuk,UT,24089,$3878.83,YELLOW,02/01/1949
7,Earl,Ford,57,Simo Pass,Gapeec,CO,61701,$116.09,GREEN,03/16/1905
8,Cody,Thomas,36,Ledow Turnpike,Fimukwo,SC,09045,$8515.83,YELLOW,02/15/1977
9,Calvin,Cummings,34,Lebbum Loop,Woifiho,DC,76359,$5970.74,RED,10/11/1955
10,Albert,Lloyd,57,Vesto Plaza,Badutrov,IN,10084,$621.13,WHITE,09/19/2060
11,Jeff,Greene,29,Face Point,Arivoel,ND,24958,$9937.82,YELLOW,08/31/2021
12,Maurice,Pearson,62,Ibru Square,Zitebis,IA,17821,$6353.48,RED,12/29/2029
13,Augusta,Becker,62,Siuwa Key,Getuogu,WA,38674,$2640.67,GREEN,11/21/1923
14,Daniel,Silva,52,Zadiz Heights,Wizrubog,ID,44290,$6934.35,WHITE,08/16/2055
15,Keith,Neal,63,Sowji Square,Egoradib,WY,72654,$2191.31,BLUE,01/07/2050
16,Josephine,Ford,60,Rauh Pike,Tuzhonuv,NM,04634,$3397.86,BLUE,08/11/1913
17,Virginia,Robbins,33,Zorub Junction,Ruzwohheb,OH,86547,$2770.10,WHITE,06/27/1991
18,Joseph,Francis,22,Widap Plaza,Ifusadmek,LA,54441,$1027.23,WHITE,02/08/1991
19,Harry,Johnston,18,Acugal Trail,Kawaja,GA,86750,$2287.38,RED,08/09/2024
20,Corey,Palmer,36,Ubzo Pass,Ceciuse,NM,98635,$2875.39,YELLOW,05/27/1937
21,Lilly,Stone,28,Ajkir Center,Daznehop,RI,84338,$4982.08,GREEN,07/25/2006
22,Madge,McKinney,61,Siuf Grove,Midjaleh,VA,22684,$9089.48,RED,12/01/2054
23,Harriet,Neal,58,Kidu Lane,Felulve,NJ,23614,$4911.50,GREEN,05/18/1984
24,Flora,Harrison,24,Nezhuj Lane,Zihlendat,KY,42503,$3165.10,RED,09/29/1956
25,Minnie,Butler,19,Orrek Path,Vetluzo,MA,03109,$5689.09,BLUE,06/17/2029
26,Zachary,Tucker,26,Ibah Plaza,Ceurles,KS,61089,$3339.42,GREEN,07/03/2003
27,Lela,Roy,65,Feeka Square,Fujemub,CO,03547,$6685.01,RED,05/19/2016
28,Agnes,Young,46,Zutun Key,Usgiet,KY,18214,$6782.96,WHITE,06/19/2060
29,Bill,Hunter,40,Nena Manor,Rekuno,LA,97867,$1428.89,WHITE,04/12/1906
30,Ruby,Stevenson,20,Puko Path,Anbohmis,FL,12115,$311.12,BLUE,01/01/1946
31,Adele,Schmidt,32,Kezve Place,Bopupna,FL,47130,$3752.80,GREEN,10/10/2036
32,Eliza,Rodriquez,39,Bukmi Street,Jolunbul,NV,58438,$9732.76,BLUE,03/28/1918
33,Alex,Long,47,Mocta Square,Jirfolca,KS,74140,$9540.07,WHITE,05/14/1952
34,Verna,Reid,35,Mofgog Plaza,Zudovma,TN,18173,$5085.09,WHITE,03/12/1958
35,Nell,Mullins,38,Bobiju Street,Jardubsa,RI,38798,$1314.28,RED,06/06/1998
36,Jessie,Alvarado,21,Ravmob View,Wedozivat,MI,76273,$501.34,RED,07/30/2019
37,Linnie,Castillo,39,Sokjo Pass,Idturlig,IL,02495,$5234.59,GREEN,01/27/2033
38,Marion,Underwood,62,Muho Highway,Sodwati,OR,53101,$3619.38,RED,10/01/1948
39,Rose,Jenkins,26,Fibic Boulevard,Nuteiz,MS,98244,$6599.25,BLUE,06/05/1954
40,Alvin,Mack,45,Onej Plaza,Ipihumaj,MD,09646,$9106.58,WHITE,09/01/1960
41,Jerry,Lane,55,Lagej Plaza,Kilnada,FL,69329,$2878.75,YELLOW,10/12/1914
42,Lenora,Harvey,42,Hocuj Park,Opucizoh,UT,29251,$6818.33,YELLOW,09/02/2007
43,Jose,Santos,43,Ejvov Center,Gocsiej,OK,02665,$418.18,YELLOW,12/28/1981
44,Tillie,Bryant,53,Icerof Center,Apcite,SC,54757,$6254.78,WHITE,10/15/2005
45,Victoria,Valdez,32,Sepike Square,Kervewow,MT,41981,$7134.01,GREEN,08/13/1998
46,Cordelia,Bailey,55,Rido Point,Ungoza,VA,14392,$6788.17,BLUE,07/22/2007
47,Lewis,Tyler,35,Zocsor Court,Zojnefaz,OR,01139,$7967.17,GREEN,04/14/1941
48,Logan,Taylor,28,Wozfi Place,Vujalsam,NY,11121,$8361.98,WHITE,10/26/2029
49,Estella,Burns,49,Sutsaf Key,Ujubuad,DE,35944,$5860.30,RED,08/27/1937
50,Ricky,Alvarez,20,Sililo Lane,Woferkom,NC,31583,$6095.45,GREEN,07/10/2030
51,Blake,French,53,Diizu View,Apucipon,TN,54059,$503.95,BLUE,08/19/2027
